month,cost_2024,cost_2025,leads_2024,leads_2025,revenue_2024,revenue_2025
1,115188.85,93590.48000000001,6734.0,5437.0,1062777.0400000014,1162786.2499999998
2,93831.15999999999,95506.03,5589.0,5553.0,1134820.93,1261062.5200000007
3,101959.10000000005,132853.39999999994,5962.0,7454.0,1128767.8600000013,1429170.8500000006
4,132705.49000000005,108387.86000000006,7822.0,6059.0,1271346.3400000015,1412140.4899999988
5,112062.86000000004,117368.99999999993,6567.0,6805.0,1421294.479999999,1594529.4199999992
6,122401.95,157111.78000000006,7149.0,9138.0,1733356.22,1842626.8200000017
7,164907.91000000003,140803.71000000008,9865.0,8685.0,1934142.310000002,2060846.88
8,127246.02999999991,135225.32000000004,7506.0,7374.0,1874392.6599999995,1892467.7900000017
9,143919.41999999993,150483.9699999999,8492.0,8382.0,1450151.0400000014,1793390.1299999985
10,104705.98999999995,108588.59000000001,6018.0,6120.0,1278177.1300000006,1485824.8199999982
11,97599.37999999996,102527.58999999994,5697.0,5709.0,1249545.5599999996,1342180.3
12,122635.59000000001,126411.60000000002,7281.0,7151.0,1197295.7000000004,1343469.2500000007
