volatility_rank,hotel_id,country,region,hotel_category,year,months,total_leads,avg_monthly_leads,sd_monthly_leads,cv_leads,min_monthly_leads,max_monthly_leads,range_leads,min_month,min_leads,cost_at_min,max_month,max_leads,cost_at_max
1,18,Spain,Ibiza,4 Star,2024,12,4433.0,369.42,194.88,0.5275,168.0,757.0,589.0,2024-01-01,168.0,3514.64,2024-07-01,757.0,13662.41
2,1,Spain,Mallorca,5 Star,2024,12,2676.0,223.0,88.29,0.3959,126.0,419.0,293.0,2024-02-01,126.0,2319.88,2024-07-01,419.0,7310.15
3,12,Egypt,Marsa Alam,5 Star,2024,12,8102.0,675.17,259.6,0.3845,351.0,1121.0,770.0,2024-06-01,351.0,6140.98,2024-12-01,1121.0,18387.15
4,4,Egypt,Hurghada,4 Star,2024,12,5323.0,443.58,162.73,0.3668,230.0,736.0,506.0,2024-06-01,230.0,4803.47,2024-12-01,736.0,13755.74
5,15,Austria,Tyrol,4 Star,2024,12,2594.0,216.17,76.15,0.3523,132.0,370.0,238.0,2024-05-01,132.0,1514.2,2024-12-01,370.0,4438.32
1,18,Spain,Ibiza,4 Star,2025,12,3811.0,317.58,169.11,0.5325,125.0,668.0,543.0,2025-12-01,125.0,4167.64,2025-06-01,668.0,11865.94
2,1,Spain,Mallorca,5 Star,2025,12,2415.0,201.25,90.65,0.4504,109.0,352.0,243.0,2025-01-01,109.0,2665.79,2025-06-01,352.0,6788.0
3,12,Egypt,Marsa Alam,5 Star,2025,12,8855.0,737.92,304.22,0.4123,337.0,1384.0,1047.0,2025-08-01,337.0,5747.78,2025-07-01,1384.0,5795.3
4,4,Egypt,Hurghada,4 Star,2025,12,5218.0,434.83,149.24,0.3432,236.0,753.0,517.0,2025-07-01,236.0,4869.41,2025-12-01,753.0,14328.98
5,15,Austria,Tyrol,4 Star,2025,12,2535.0,211.25,64.89,0.3072,118.0,354.0,236.0,2025-05-01,118.0,1543.23,2025-12-01,354.0,3972.75
